"No.","Time","Delta","Source","Destination","Protocol","Length","Value","Info"
"12435","2021-12-21 13:48:23.179740","0.137228","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12439","2021-12-21 13:48:23.269734","0.089994","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12445","2021-12-21 13:48:23.404756","0.135022","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12449","2021-12-21 13:48:23.494778","0.090022","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12451","2021-12-21 13:48:23.539607","0.044829","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12453","2021-12-21 13:48:23.583381","0.043774","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12455","2021-12-21 13:48:23.673378","0.089997","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12465","2021-12-21 13:48:24.168543","0.495165","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12469","2021-12-21 13:48:24.302451","0.133908","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12471","2021-12-21 13:48:24.392710","0.090259","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12475","2021-12-21 13:48:24.527911","0.135201","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12479","2021-12-21 13:48:24.663532","0.135621","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12481","2021-12-21 13:48:24.707443","0.043911","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244325332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12483","2021-12-21 13:48:24.843385","0.135942","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12795","2021-12-21 13:48:32.943339","8.099954","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12799","2021-12-21 13:48:33.122680","0.179341","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12801","2021-12-21 13:48:33.168295","0.045615","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12803","2021-12-21 13:48:33.302387","0.134092","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12807","2021-12-21 13:48:33.393470","0.091083","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12813","2021-12-21 13:48:33.528466","0.134996","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12817","2021-12-21 13:48:33.617455","0.088989","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244355332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12839","2021-12-21 13:48:34.158339","0.540884","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12845","2021-12-21 13:48:34.292923","0.134584","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12849","2021-12-21 13:48:34.384740","0.091817","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12855","2021-12-21 13:48:34.518232","0.133492","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12857","2021-12-21 13:48:34.564702","0.046470","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12859","2021-12-21 13:48:34.608371","0.043669","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
"12865","2021-12-21 13:48:34.742789","0.134418","Master_0x60d988c8","Slave_0x60d988c8","ATT","39","313244335332","Sent Write Command, Handle: 0x0056 (Unknown: Unknown)"
